step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
43,CASH_IN,149152.92,C532400860,52679,201831.92,C1098293483,0,0,0
34,CASH_IN,170234.08,C1410895046,2723,172957.08,C617376203,0,0,0
33,CASH_OUT,99727.5,C1060972913,21129,0,C1803348615,88581.86,188309.36,0
12,PAYMENT,18065.94,C1274736812,0,0,M483573807,0,0,0
20,TRANSFER,43627.23,C779675334,0,0,C1646718574,84077,0,0
44,CASH_OUT,178075.53,C1731811059,0,0,C1638324881,2011939.85,2190015.37,0
40,CASH_IN,96340.32,C1661731801,100548,196888.32,C540848208,110172.61,13832.29,0
18,CASH_OUT,126173.54,C1663494895,0,0,C1308472584,797689.13,1056929.88,0
20,CASH_OUT,173291.12,C1204956800,0,0,C264446611,808030.7,981321.82,0
38,TRANSFER,251862.24,C677718919,0,0,C1935293965,841414.41,1093276.64,0
40,CASH_IN,23226.37,C685799253,8001612.66,8024839.03,C1139186330,44998.51,21772.14,0
45,CASH_IN,47902.93,C811944828,1262279.01,1310181.94,C28825152,206253.77,158350.84,0
14,PAYMENT,12197.01,C1018665659,85515,73317.99,M866925712,0,0,0
40,PAYMENT,10171.54,C968719054,44,0,M1950990429,0,0,0
44,CASH_OUT,338811.12,C613191202,0,0,C90133972,1177985.46,1516796.59,0
18,PAYMENT,774.34,C38455941,2114.94,1340.6,M834799400,0,0,0
17,CASH_IN,18274.12,C1568457606,71298.27,89572.4,C28125426,11700000,13000000,0
18,TRANSFER,649792.99,C2037423030,0,0,C1581613896,923206.03,1455529.52,0
36,CASH_OUT,284192.05,C2025289584,132285.51,0,C1577729840,2733380.87,3017572.92,0
20,CASH_IN,29845.71,C690173793,2995308.63,3025154.33,C52242594,52891.53,23045.82,0
15,CASH_OUT,2325.05,C1273502398,270768,268442.95,C1211946664,0,2325.05,0
13,TRANSFER,734940.9,C1202201598,144743,0,C242520397,190750.03,925690.92,0
38,TRANSFER,1146543.06,C1464531872,358984,0,C1015955362,0,1303772.31,0
46,PAYMENT,426.32,C1286110377,110546.59,110120.27,M1629678943,0,0,0
36,CASH_OUT,564006.9,C816828559,103089,0,C800803718,1106575.65,1670582.55,0
11,PAYMENT,7077.18,C344100559,0,0,M273043196,0,0,0
33,TRANSFER,2362870.72,C1266614010,11624,0,C2083270556,25049.91,2387920.63,0
39,CASH_OUT,176100.6,C659905687,50029,0,C2097851240,0,176100.6,0
19,CASH_OUT,141265.17,C777665697,0,0,C604159813,198927.24,340192.41,0
37,CASH_OUT,144405.37,C1716675706,160358,15952.63,C1138046748,2463419.62,2607824.99,0
18,CASH_OUT,17015.15,C1442103836,69223,52207.85,C1132754645,393083.7,410098.85,0
16,TRANSFER,966804.9,C678774518,106297,0,C2057450230,216,1032431.33,0
40,CASH_OUT,391897.4,C812767422,21502.97,0,C448118992,926887.45,1318784.84,0
36,CASH_OUT,202362.05,C431753674,0,0,C1440457832,5499201.78,5667597.92,0
38,CASH_OUT,484683.19,C755483800,60403,0,C789101197,145741.54,630424.72,0
9,CASH_OUT,198751.16,C1179763566,17697,0,C1860434997,389644.1,812122.97,0
94,CASH_IN,510143.83,C1671421906,1199748.81,1709892.64,C2077103803,5757252.13,5247108.3,0
22,PAYMENT,965.93,C1447224935,0,0,M2113734349,0,0,0
33,PAYMENT,26983.65,C395630703,339134.17,312150.52,M1075008239,0,0,0
19,CASH_OUT,10578.57,C1980148448,113221,102642.43,C1909939190,610963.76,621542.33,0
10,CASH_OUT,360081.26,C197263827,0,0,C145664986,1156483.42,1550748.58,0
37,TRANSFER,38263.21,C5915179,13358,0,C1319509044,1168435.77,1206698.98,0
43,CASH_OUT,103568.63,C1902359374,93771.52,0,C974126496,232683.25,336251.88,0
10,TRANSFER,2826606.78,C1522250303,206470,0,C1043870161,2040565.58,4867172.36,0
21,CASH_IN,50402.56,C795457881,10190,60592.56,C494072608,20144,0,0
17,CASH_IN,30048.33,C1747543519,40688,70736.33,C216972347,2246500.36,2216452.03,0
35,CASH_OUT,139720.29,C1596662967,55807,0,C374669956,9495.01,149215.3,0
40,CASH_IN,128242.54,C1387461895,867020.04,995262.58,C12516837,173419.23,45176.69,0
37,CASH_OUT,158332.97,C626737109,0,0,C1146770980,807410.38,1088400.93,0
18,CASH_IN,258382.78,C2065383627,9759709.19,10000000,C791622286,360460.29,189258.38,0
12,TRANSFER,150830.02,C721904785,0,0,C842729010,11400000,11700000,0
16,TRANSFER,747586.23,C1438830621,507455.84,0,C194302894,10600000,11300000,0
18,CASH_OUT,86607.62,C1935697793,0,0,C248565961,704385.4,790993.02,0
48,TRANSFER,1151768.91,C1827504525,0,0,C1280912398,2385358.48,3537127.39,0
35,CASH_OUT,47001.71,C1259103244,0,0,C336249716,147682.38,194684.09,0
34,CASH_OUT,379535.57,C1748653407,24273,0,C1478360567,297773.64,677309.21,0
20,CASH_OUT,16168.98,C1416838343,5268,0,C1747239046,2865529.63,3285008.05,0
20,CASH_OUT,118346.05,C298096871,463723,345376.95,C1453977143,227651.36,919669.84,0
45,TRANSFER,95085.44,C239647010,1615,0,C427264446,171699.9,266785.34,0
18,PAYMENT,434.14,C575412982,0,0,M2140943926,0,0,0
9,CASH_OUT,221604.42,C653828676,21526,0,C1827786059,157071.86,374648.02,0
17,CASH_OUT,61852.66,C2136975936,33659.57,0,C660505423,260660.62,417513.45,0
17,PAYMENT,18639.19,C660737616,76044.6,57405.41,M788687337,0,0,0
17,CASH_OUT,67246.34,C573393043,430,0,C1030928319,0,67246.34,0
